altitude_agl: null,angular_vel_z: 0.007095786742866028,compass_hdg: 192.98,yaw: -102.97639818758411,angular_vel_y: 0.08939921110868454,angular_vel_x: -0.0840701162815094,pitch: 2.1593517129382507,linear_vel_x: 0.22555295,altitude_amsl: 0.08998356759548187,altitude_relative: 1.602,battery_volts: 12.142999649047852,ros_time: 1579810108,linear_vel_z: 10.50292215,linear_vel_y: 0.24516625000000128,longitude: -3.0064975,latitude: 51.7097462,roll: -2.049152800539029
altitude_agl: null,angular_vel_z: -0.0032876471523195488,compass_hdg: 194.72,yaw: -104.71685333150842,angular_vel_y: -0.013050617650151253,angular_vel_x: -0.010405662469565868,pitch: 1.8476895407803344,linear_vel_x: 0.08825985,altitude_amsl: 0.08998356759548187,altitude_relative: 3.716,battery_volts: 12.192999839782715,ros_time: 1579810109,linear_vel_z: 10.01258965,linear_vel_y: 0.01961330000000123,longitude: -3.0064995,latitude: 51.7097486,roll: -1.891426443687098
altitude_agl: null,angular_vel_z: 0.0006801155395805851,compass_hdg: 194.86,yaw: -104.85654436041352,angular_vel_y: -0.012196449562907219,angular_vel_x: 0.014299214817583561,pitch: 0.6727045309417642,linear_vel_x: -0.0588399,altitude_amsl: 0.08998356759548187,altitude_relative: 5.992,battery_volts: 12.192999839782715,ros_time: 1579810111,linear_vel_z: 9.8654899,linear_vel_y: -0.1274864499999988,longitude: -3.0064989,latitude: 51.7097478,roll: -0.5717166088859807
altitude_agl: null,angular_vel_z: 8.637504652142466e-05,compass_hdg: 194.81,yaw: -104.80613756433881,angular_vel_y: 0.004803849384188652,angular_vel_x: -0.0028707103338092566,pitch: 0.06767416796693605,linear_vel_x: -0.0784532,altitude_amsl: 0.08998356759548187,altitude_relative: 8.338,battery_volts: 12.192999839782715,ros_time: 1579810112,linear_vel_z: 9.81645665,linear_vel_y: 0.009806650000001202,longitude: -3.0064976,latitude: 51.7097465,roll: -0.01025658958572559
altitude_agl: null,angular_vel_z: 0.0005088978214189407,compass_hdg: 194.82,yaw: -104.81455235739628,angular_vel_y: 0.0023597634863108397,angular_vel_x: -0.008003179915249348,pitch: 0.21590686869745349,linear_vel_x: -0.02941995,altitude_amsl: 0.08998356759548187,altitude_relative: 10.74,battery_volts: 12.192999839782715,ros_time: 1579810112,linear_vel_z: 9.8851032,linear_vel_y: 1.2105759993121259e-15,longitude: -3.0064973,latitude: 51.7097462,roll: -0.18161079466773852
altitude_agl: null,angular_vel_z: 0.00013709394261240883,compass_hdg: 194.82,yaw: -104.81821333879142,angular_vel_y: 0.006154327653348446,angular_vel_x: -0.003559304168447852,pitch: 0.3423962891952567,linear_vel_x: 0.02941995,altitude_amsl: 0.08998356759548187,altitude_relative: 13.168,battery_volts: 12.192999839782715,ros_time: 1579810113,linear_vel_z: 9.80665,linear_vel_y: 1.2009682532858392e-15,longitude: -3.0064975,latitude: 51.7097463,roll: -0.29995650858098427
altitude_agl: null,angular_vel_z: 0.00043973443098366304,compass_hdg: 194.82,yaw: -104.81285847048213,angular_vel_y: -0.003670541336759925,angular_vel_x: 0.0016003260388970375,pitch: 0.32945014587117355,linear_vel_x: 0.0392266,altitude_amsl: 0.08998356759548187,altitude_relative: 15.624,battery_volts: 12.192999839782715,ros_time: 1579810114,linear_vel_z: 9.81645665,linear_vel_y: 0.0588399000000012,longitude: -3.0064976,latitude: 51.7097463,roll: -0.32419834404924047
altitude_agl: null,angular_vel_z: 0.0003486732020974158,compass_hdg: 194.82,yaw: -104.81147877226978,angular_vel_y: 0.0007213131757453084,angular_vel_x: -0.009624079801142216,pitch: 0.26334720155781993,linear_vel_x: 0.0,altitude_amsl: 0.08998356759548187,altitude_relative: 18.088,battery_volts: 12.192999839782715,ros_time: 1579810116,linear_vel_z: 9.8262633,linear_vel_y: -0.009806649999998796,longitude: -3.0064976,latitude: 51.7097463,roll: -0.2873264482689994
altitude_agl: null,angular_vel_z: 0.0008990656351670625,compass_hdg: 194.81,yaw: -104.80671130022911,angular_vel_y: -0.0015298903454095123,angular_vel_x: -0.0033364794217050076,pitch: 0.32612829937659377,linear_vel_x: 0.00980665,altitude_amsl: 0.08998356759548187,altitude_relative: 20.565,battery_volts: 12.192999839782715,ros_time: 1579810117,linear_vel_z: 9.7870367,linear_vel_y: -0.009806649999998801,longitude: -3.0064976,latitude: 51.7097463,roll: -0.2840676209416835
altitude_agl: null,angular_vel_z: -9.398907423019658e-06,compass_hdg: 194.81,yaw: -104.80973024384224,angular_vel_y: 0.0020336539018899202,angular_vel_x: -0.004041655920445919,pitch: 0.2723313815960463,linear_vel_x: 0.0,altitude_amsl: 0.08998356759548187,altitude_relative: 23.046,battery_volts: 12.192999839782715,ros_time: 1579810118,linear_vel_z: 9.85568325,linear_vel_y: 0.04903325000000121,longitude: -3.0064976,latitude: 51.7097464,roll: -0.30073426969229294
