name,altitude_agl,angular_vel_z,compass_hdg,yaw,angular_vel_y,angular_vel_x,pitch,linear_vel_x,altitude_amsl,altitude_relative,battery_volts,ros_time,linear_vel_z,linear_vel_y,longitude,latitude,roll
3point,null	,0.0010496452450752256	,193.01	,-102.99979841568057	,0.001155922771431506	,-0.001013846369460225	,0.3039722062457035	,0.0	,0.08998356759548187	,0.009	,12.586999893188477	,1579810100	,9.81645665	,1.202169221539125e-15	,-3.0064964	,51.709745	,-0.2718913946835339	
4point,null	,0.001130426302552223	,192.98	,-102.96777848885155	,0.0013056849129498007	,-0.001097354106605053	,0.30816823691276574	,0.0	,0.08998356759548187	,0.009	,12.586999893188477	,1579810101	,9.81645665	,1.202169221539125e-15	,-3.0064964	,51.709745	,-0.27502887943137644	
5point,null	,0.00130587606690824	,192.95	,-102.93691969418143	,0.0010982196545228364	,-0.0010122198145836592	,0.310752956585513	,0.0	,0.08998356759548187	,0.009	,12.586999893188477	,1579810102	,9.81645665	,1.202169221539125e-15	,-3.0064964	,51.709745	,-0.279377282013868	
6point,null	,0.001107423799112439	,192.92	,-102.90653901275321	,0.0009942998876795175	,-0.001175439334474504	,0.3132741768433204	,0.0	,0.08998356759548187	,0.009	,12.586999893188477	,1579810103	,9.81645665	,1.202169221539125e-15	,-3.0064964	,51.709745	,-0.2831530159231364	
7point,null	,0.0012056906707584856	,192.89	,-102.87466935008595	,0.0013215232174843552	,-0.0011585054453462362	,0.31586039061994875	,0.0	,0.08998356759548187	,0.009	,12.586999893188477	,1579810104	,9.81645665	,1.202169221539125e-15	,-3.0064964	,51.709745	,-0.2848246780420706	
8point,null	,0.0012102731270715592	,192.86	,-102.8432231591472	,0.0011717336019501092	,-0.0012047803029417992	,0.3193438671379345	,0.0	,0.08998356759548187	,0.009	,12.538000106811523	,1579810105	,9.81645665	,1.202169221539125e-15	,-3.0064964	,51.709745	,-0.2866972437721383	
9point,null	,0.0012103542685508726	,192.82	,-102.81095734550809	,0.0012663655215874316	,-0.0011972362408414483	,0.3220642567791565	,0.0	,0.08998356759548187	,0.009	,12.48900032043457	,1579810106	,9.80665	,1.2009682532858392e-15	,-3.0064964	,51.709745	,-0.2902949391957368	
10point,null	,-0.002402663463726592	,192.79	,-102.90518663529757	,-0.38952115178108215	,0.3736732602119446	,-3.5146911228230318	,-0.00980665	,0.08998356759548187	,0.108	,12.093999862670898	,1579810107	,10.46369555	,0.00980665000000128	,-3.0064964	,51.709745	,3.3390274085501783	
11point,null	,0.007095786742866028	,192.98	,-102.97639818758411	,0.08939921110868454	,-0.0840701162815094	,2.1593517129382507	,0.22555295	,0.08998356759548187	,1.602	,12.142999649047852	,1579810108	,10.50292215	,0.24516625000000128	,-3.0064975	,51.7097462	,-2.049152800539029	
12point,null	,-0.0032876471523195488	,194.72	,-104.71685333150842	,-0.013050617650151253	,-0.010405662469565868	,1.8476895407803344	,0.08825985	,0.08998356759548187	,3.716	,12.192999839782715	,1579810109	,10.01258965	,0.01961330000000123	,-3.0064995	,51.7097486	,-1.891426443687098	
13point,null	,0.0006801155395805851	,194.86	,-104.85654436041352	,-0.012196449562907219	,0.014299214817583561	,0.6727045309417642	,-0.0588399	,0.08998356759548187	,5.992	,12.192999839782715	,1579810111	,9.8654899	,-0.1274864499999988	,-3.0064989	,51.7097478	,-0.5717166088859807	
14point,null	,8.637504652142466e-05	,194.81	,-104.80613756433881	,0.004803849384188652	,-0.0028707103338092566	,0.06767416796693605	,-0.0784532	,0.08998356759548187	,8.338	,12.192999839782715	,1579810112	,9.81645665	,0.009806650000001202	,-3.0064976	,51.7097465	,-0.01025658958572559	
15point,null	,0.0005088978214189407	,194.82	,-104.81455235739628	,0.0023597634863108397	,-0.008003179915249348	,0.21590686869745349	,-0.02941995	,0.08998356759548187	,10.74	,12.192999839782715	,1579810112	,9.8851032	,1.2105759993121259e-15	,-3.0064973	,51.7097462	,-0.18161079466773852	
16point,null	,0.00013709394261240883	,194.82	,-104.81821333879142	,0.006154327653348446	,-0.003559304168447852	,0.3423962891952567	,0.02941995	,0.08998356759548187	,13.168	,12.192999839782715	,1579810113	,9.80665	,1.2009682532858392e-15	,-3.0064975	,51.7097463	,-0.29995650858098427	
17point,null	,0.00043973443098366304	,194.82	,-104.81285847048213	,-0.003670541336759925	,0.0016003260388970375	,0.32945014587117355	,0.0392266	,0.08998356759548187	,15.624	,12.192999839782715	,1579810114	,9.81645665	,0.0588399000000012	,-3.0064976	,51.7097463	,-0.32419834404924047	
18point,null	,0.0003486732020974158	,194.82	,-104.81147877226978	,0.0007213131757453084	,-0.009624079801142216	,0.26334720155781993	,0.0	,0.08998356759548187	,18.088	,12.192999839782715	,1579810116	,9.8262633	,-0.009806649999998796	,-3.0064976	,51.7097463	,-0.2873264482689994	
19point,null	,0.0008990656351670625	,194.81	,-104.80671130022911	,-0.0015298903454095123	,-0.0033364794217050076	,0.32612829937659377	,0.00980665	,0.08998356759548187	,20.565	,12.192999839782715	,1579810117	,9.7870367	,-0.009806649999998801	,-3.0064976	,51.7097463	,-0.2840676209416835	
20point,null	,-9.398907423019658e-06	,194.81	,-104.80973024384224	,0.0020336539018899202	,-0.004041655920445919	,0.2723313815960463	,0.0	,0.08998356759548187	,23.046	,12.192999839782715	,1579810118	,9.85568325	,0.04903325000000121	,-3.0064976	,51.7097464	,-0.30073426969229294	
21point,null	,0.0011018041986972085	,194.81	,-104.80572775298866	,0.007939549162983894	,-0.0050630951300263405	,0.25926146777368286	,-0.02941995	,0.08998356759548187	,25.53	,12.192999839782715	,1579810119	,9.85568325	,1.2069730945522684e-15	,-3.0064976	,51.7097464	,-0.24113542637693694	
22point,null	,0.00031088083051145104	,194.82	,-104.81059084767769	,-0.0023187072947621346	,0.0012927257921546698	,0.2505471602489517	,-0.0196133	,0.08998356759548187	,28.016	,12.192999839782715	,1579810120	,9.8262633	,-0.0294199499999988	,-3.0064976	,51.7097464	,-0.3273843071319342	
23point,null	,0.0006942233303561805	,194.81	,-104.8075719040645	,0.0021210010163486004	,-0.0016992385499179363	,0.3438724104687729	,0.0588399	,0.08998356759548187	,30.505	,12.192999839782715	,1579810121	,9.73800345	,0.029419950000001194	,-3.0064976	,51.7097465	,-0.32019593323689227	
24point,null	,0.0005533093353733419	,194.82	,-104.81381469696593	,0.0008594815153628589	,-0.00465279258787632	,0.2532049576097328	,-0.0784532	,0.08998356759548187	,32.995	,12.192999839782715	,1579810122	,9.8654899	,-0.009806649999998791	,-3.0064978	,51.7097468	,-0.2228213546748188	
25point,null	,0.000965423882007599	,194.81	,-104.80998979103073	,-0.0007727250922471284	,0.002301168395206332	,0.26578731331923344	,0.02941995	,0.08998356759548187	,35.487	,12.192999839782715	,1579810123	,9.77723005	,0.049033250000001194	,-3.0064979	,51.7097468	,-0.15606016422041846	
26point,null	,0.0008866933640092616	,194.82	,-104.81160171567484	,-0.003973999060690403	,-0.00025703455321490765	,0.24310799034532346	,0.06864655	,0.08998356759548187	,37.985	,12.192999839782715	,1579810124	,9.79684335	,-0.029419949999998803	,-3.0064979	,51.7097469	,-0.23146713352422527	
27point,null	,0.0007145775016397239	,194.8	,-104.79814624300992	,-0.0010881356429308653	,-0.0045471214689314365	,0.30157987912805395	,0.0196133	,0.08998356759548187	,40.477	,12.192999839782715	,1579810125	,9.80665	,1.2009682532858392e-15	,-3.0064979	,51.7097469	,-0.3316168099419471	
